HEAD	id	access_class	last_access	read_security_id	write_security_id	object_name	access_class_context	owner	longitude	latitude	tag0	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	payload
DATA	1	CO_Main_DB_Record	1/2/70 0:00	-1	-1	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
DATA	2	CO_US_Place	1/2/70 0:00	0	0	Awareness	NULL	NULL	-71.44109526	43.01254879	Veterans Hospital	Smyth Road		Manchester	Hillsborough County	NH	03108-0000	US	1	10:00:00	NULL
DATA	3	CO_US_Place	1/2/70 0:00	0	0	Together With Vigilance Group	NULL	NULL	-75.887618	41.236342	Mount Zion Baptist Church	105 Hill Street		Wilkes Barre		PA	18702-4925	US	2	11:30:00	NULL
DATA	4	CO_US_Place	1/2/70 0:00	0	0	Attitude of Gratitude	NULL	NULL	-118.5915634	34.2010116		21044 Sherman Way		Canoga Park			91303	US	1	10:30:00	NULL
DATA	5	CO_US_Place	1/2/70 0:00	0	0	NA Meeting	NULL	NULL	8.6574082	50.100729	JJ	Gutleutstr. 160		Frankfurt am Main	Deutschland	Hessen	60327	US	5	19:00:00	NULL
DATA	6	CO_US_Place	1/2/70 0:00	0	0	Rising Sun	NULL	NULL	-79.8223509	36.0792346	First Friends Meeting Room 2	2100 W. Friendly Ave		Greensboro	Guilford	NC	27403	US	1	7:30:00	NULL
DATA	7	CO_US_Place	1/2/70 0:00	0	0	Spiritual Awakening	NULL	NULL	-74.7669	40.22181	Cathedral Square Senior Citizen Building	26 W. Hanover Street		Trenton	Mercer	NJ	8608	US	1	9:00:00	NULL
DATA	8	CO_US_Place	1/2/70 0:00	0	0	Living the Dream	NULL	NULL	-117.119213	32.762058	center	4649 Hawley Blvd		San Diego		CA	92116	US	1	9:00:00	NULL
DATA	9	CO_Place	1/2/70 0:00	0	0	Kungälvsgruppen	NULL	NULL	11.9720944	57.8701972	Bakom polishuset	Ytterbyvägen 27		Kungälv		Västra Götaland	442 35	Sverige	3	19:00:00	NULL
DATA	10	CO_US_Place	1/2/70 0:00	0	0	ITS A INSIDE JOB	NULL	NULL	-86.82701111	33.52078905	SEMMES  AL	7470 MOFFET RD.		SEMMES		AL	36575	US	1	1:00:00	NULL
DATA	11	CO_US_Place	1/2/70 0:00	0	0	Sunrise Serenity	NULL	NULL	-80.116516	26.004278	On the Beach Azalea Terrace	1166 S Surf Rd		Hollywood		FL		US	1	8:00:00	NULL
DATA	12	CO_Place	1/2/70 0:00	0	0	Never Alone	NULL	NULL	12.256075	57.106383	Församlingshemmet	Sveagatan 24		Varberg	Sverige	Halland	432 42	Europe	4	19:00:00	NULL
